iter	Passed	Remaining
460	788	922
461	790	920
462	791	917
463	792	915
464	793	913
465	795	911
466	798	910
467	799	908
468	801	906
469	802	904
470	803	902
471	804	900
472	805	897
473	806	895
474	807	892
475	809	890
476	810	888
477	811	886
478	814	885
479	815	883
480	816	880
481	817	878
482	818	876
483	819	873
484	820	871
485	821	868
486	822	866
487	823	864
488	824	862
489	826	859
490	827	857
491	829	856
492	830	853
493	831	851
494	832	849
495	834	847
496	835	845
497	836	843
498	837	840
499	839	839
500	840	837
501	841	834
502	843	833
503	845	831
504	846	829
505	846	826
506	848	824
507	849	822
508	850	820
509	851	818
510	852	816
511	854	814
512	855	811
513	856	809
514	858	808
515	860	806
516	861	804
517	862	802
518	863	800
519	864	798
520	865	796
521	867	794
522	868	792
523	869	790
524	870	788
525	872	785
526	874	784
527	875	782
528	876	780
529	877	778
530	879	776
531	880	774
532	881	772
533	882	770
534	883	767
535	884	765
536	885	763
537	887	761
538	889	761
539	891	759
540	892	757
541	893	755
542	894	753
543	896	751
544	897	749
545	898	747
546	899	745
547	901	743
548	902	741
549	904	740
550	905	738
551	906	736
552	908	734
553	909	732
554	910	730
555	911	728
556	912	726
557	914	724
558	915	722
559	916	719
560	917	717
561	919	716
562	920	714
563	921	712
564	922	710
565	924	708
566	925	707
567	927	705
568	928	703
569	929	701
570	930	699
571	931	697
572	932	695
573	935	694
574	936	692
575	938	690
576	938	688
577	940	686
578	942	685
579	943	683
580	944	681
581	945	678
582	946	676
583	947	675
584	951	674
585	953	673
586	954	671
587	955	669
588	956	667
589	957	665
590	958	663
591	959	661
592	960	659
593	961	657
594	962	655
595	966	655
596	968	653
597	969	651
598	970	649
599	971	647
600	972	645
601	973	643
602	975	641
603	976	640
604	977	638
605	979	637
606	982	635
607	983	633
608	984	632
609	985	630
610	986	628
611	987	626
612	988	624
613	989	622
614	991	620
615	991	618
616	992	615
617	996	616
618	998	614
619	999	612
620	1000	610
621	1001	608
622	1003	606
623	1004	605
624	1005	603
625	1006	601
626	1010	601
627	1012	599
628	1013	597
629	1014	596
630	1015	594
631	1017	592
632	1018	590
633	1019	588
634	1020	586
635	1021	584
636	1025	584
637	1027	582
638	1028	581
639	1029	579
640	1030	577
641	1032	575
642	1033	573
643	1034	572
644	1035	569
645	1037	568
646	1040	567
647	1041	565
648	1042	563
649	1043	562
650	1045	560
651	1046	558
652	1047	556
653	1049	555
654	1050	553
655	1052	551
656	1054	550
657	1056	549
658	1057	547
659	1059	545
660	1060	544
661	1062	542
662	1063	540
663	1064	538
664	1066	537
665	1067	535
666	1069	534
667	1071	532
668	1072	530
669	1074	529
670	1075	527
671	1076	525
672	1078	523
673	1079	522
674	1081	520
675	1082	518
676	1085	517
677	1086	516
